Data,Valor Real,Previsão,Resultado
2015-12-21,1,1,✔️
2015-12-22,1,1,✔️
2015-12-23,0,0,✔️
2015-12-28,0,0,✔️
2015-12-29,0,0,✔️
2015-12-30,1,1,✔️
2016-01-04,1,0,❌
2016-01-05,0,0,✔️
2016-01-06,0,0,✔️
2016-01-07,0,0,✔️
2016-01-08,0,0,✔️
2016-01-11,1,1,✔️
2016-01-12,0,0,✔️
2016-01-13,0,0,✔️
2016-01-14,1,1,✔️
2016-01-15,0,0,✔️
2016-01-18,1,0,❌
2016-01-19,0,0,✔️
2016-01-20,1,0,❌
2016-01-21,1,1,✔️
2016-01-22,0,0,✔️
2016-01-26,1,1,✔️
2016-01-27,0,0,✔️
2016-01-28,1,1,✔️
2016-01-29,0,1,❌
2016-02-01,1,1,✔️
2016-02-02,1,1,✔️
2016-02-03,1,1,✔️
2016-02-04,0,1,❌
2016-02-05,0,1,❌
